title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,all_image_urls,body_type,car_code,dealer_stock_id,dealer_stock_ids,fuel,image_count,match_reason,match_score,match_status,matched_chassis,matched_stock_no,mismatch_count,mismatch_fields,mismatch_messages,photo_count,registration_plate,transmission,vin
1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,"$34,900",34900,"134,795km",134795,https://www.carsales.com.au/cars/details/1999-mitsubishi-strada-k74t-auto-4x4-dual-cab/OAG-AD-24984736/,OAG-AD-24984736,OAG-AD-24984736,1999,MITSUBISHI,Strada,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,stock_tail3_match:824,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Ute,1248,1999824,1999824,Diesel,1,stock_tail3_match:824,95.0,identified,K741100900,824,0,,,26,Check with seller,Automatic,6ZZX000K741100900
2021 Nissan Note e-POWER X E13 Auto,"$21,900",21900,"51,489km",51489,https://www.carsales.com.au/cars/details/2021-nissan-note-e-power-x-e13-auto/OAG-AD-25056824/,OAG-AD-25056824,OAG-AD-25056824,2021,NISSAN,Note,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Note e-POWER X E13 Auto,stock_tail3_match:945,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1327,2021945,2021945,Hybrid,1,stock_tail3_match:945,95.0,identified,E13-057943,945,0,,,29,Check with seller,Automatic,6ZZM0000E13057943
1994 Mitsubishi Pajero Exceed NJ Auto 4WD,"$19,900",19900,"86,382km",86382,https://www.carsales.com.au/cars/details/1994-mitsubishi-pajero-exceed-nj-auto-4wd/OAG-AD-25415448/,OAG-AD-25415448,OAG-AD-25415448,1994,MITSUBISHI,Pajero,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1994 Mitsubishi Pajero Exceed NJ Auto 4WD,stock_tail3_match:976,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",SUV,1214,1994976,1994976,Diesel,1,stock_tail3_match:976,95.0,identified,V46-4028233,976,0,,,28,Check with seller,Automatic,6ZZR000V464028233
1996 Toyota Hiace Super Custom Auto,"$46,900",46900,"37,073km",37073,https://www.carsales.com.au/cars/details/1996-toyota-hiace-super-custom-auto/OAG-AD-25751349/,OAG-AD-25751349,OAG-AD-25751349,1996,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1996 Toyota Hiace Super Custom Auto,stock_tail3_match:987,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1323,1996987,1996987,Diesel,1,stock_tail3_match:987,95.0,identified,LY1110003463,987,0,,,25,Check with seller,Automatic,6ZZX0LY1110006633
2000 Toyota MR2 Spyder Manual,"$20,900",20900,"91,323km",91323,https://www.carsales.com.au/cars/details/2000-toyota-mr2-spyder-manual/OAG-AD-25461738/,OAG-AD-25461738,OAG-AD-25461738,2000,TOYOTA,MR-S,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota MR2 Spyder Manual,stock_tail3_match:994,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Convertible,1313,2000994,2000994,Petrol,1,stock_tail3_match:994,95.0,identified,ZZW30-0011412,994,1,price,"Price mismatch: Carsales $20,900 vs Carbarn $19,900",24,Check with seller,Manual,6ZZY0ZZW300011412
2019 Toyota Hiace DX LWB Auto,"$36,900",36900,"13,000km",13000,https://www.carsales.com.au/cars/details/2019-toyota-hiace-dx-lwb-auto/OAG-AD-25628782/,OAG-AD-25628782,OAG-AD-25628782,2019,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/48h2q4y2t5m09pzhk8vygb5sd.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2019 Toyota Hiace DX LWB Auto,stock_tail4_match:1007,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/48h2q4y2t5m09pzhk8vygb5sd.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1254,20191007,20191007,Petrol,1,stock_tail4_match:1007,100.0,identified,TRH200-0310024,1007,0,,,26,Check with seller,Automatic,6ZZKTRH2000310024
2020 Honda Vezel Hybrid Z Honda Sensing Auto,"$27,900",27900,"51,676km",51676,https://www.carsales.com.au/cars/details/2020-honda-vezel-hybrid-z-honda-sensing-auto/OAG-AD-25730316/,OAG-AD-25730316,OAG-AD-25730316,2020,HONDA,Vezel,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/cte9bg4kzzhb4200hpfao3l5q.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Honda Vezel Hybrid Z Honda Sensing Auto,stock_tail4_match:1021,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/cte9bg4kzzhb4200hpfao3l5q.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1153,20201021,20201021,Hybrid,1,stock_tail4_match:1021,100.0,identified,RU3-1405237,1021,0,,,23,Check with seller,Automatic,6ZZL000RU31405237
2017 Honda Odyssey Hybrid Absolute Auto,"$28,900",28900,"77,158km",77158,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25705793/,OAG-AD-25705793,OAG-AD-25705793,2017,HONDA,Odyssey,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/4qp16hppiirmbh8lsqo5527vl.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1054,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/4qp16hppiirmbh8lsqo5527vl.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1279,20171054,20171054,Hybrid,1,stock_tail4_match:1054,100.0,identified,RC4-1027907,1054,0,,,22,Check with seller,Automatic,6ZZH000RC41027907
2019 Honda Vezel Hybrid Z Honda Sensing Auto 4WD,"$28,900",28900,"16,396km",16396,https://www.carsales.com.au/cars/details/2019-honda-vezel-hybrid-z-honda-sensing-auto-4wd/OAG-AD-25754119/,OAG-AD-25754119,OAG-AD-25754119,2019,HONDA,Vezel,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/5c01a5a428919ec2da7f8a2374a1232f.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2019 Honda Vezel Hybrid Z Honda Sensing Auto 4WD,stock_tail4_match:1057,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/5c01a5a428919ec2da7f8a2374a1232f.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",SUV,1304,20191057,20191057,Hybrid,1,stock_tail4_match:1057,100.0,identified,RU3-1360659,1057,0,,,22,Check with seller,Automatic,6ZZK000RU31360659
2017 Honda Odyssey Hybrid Absolute Auto,"$24,900",24900,"112,678km",112678,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25744494/,OAG-AD-25744494,OAG-AD-25744494,2017,HONDA,Odyssey,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/2n9p4qerq0wdbz4jemlroudun.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1056,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/2n9p4qerq0wdbz4jemlroudun.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1287,20171056,20171056,Hybrid,1,stock_tail4_match:1056,100.0,identified,RC4-1023465,1056,0,,,26,Check with seller,Automatic,6ZZH000RC41023465
