title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,all_image_urls,body_type,car_code,dealer_stock_id,dealer_stock_ids,fuel,image_count,match_reason,match_score,match_status,matched_chassis,matched_stock_no,mismatch_count,mismatch_fields,mismatch_messages,photo_count,registration_plate,transmission,vin
2009 Subaru Impreza WRX STI A Line GRF Auto AWD,"$21,400",21400,"97,848km",97848,https://www.carsales.com.au/cars/details/2009-subaru-impreza-wrx-sti-a-line-grf-auto-awd/OAG-AD-25744499/,OAG-AD-25744499,OAG-AD-25744499,2009,SUBARU,Impreza,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/9dtcwew47affeykmbwrtm5yan.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Subaru Impreza WRX STI A Line GRF Auto AWD,stock_tail4_match:1070,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/9dtcwew47affeykmbwrtm5yan.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1293,20091070,20091070,Petrol,1,stock_tail4_match:1070,100.0,identified,GRF-004024,1070,0,,,26,Check with seller,Automatic,6ZZ90000GRF004024
2024 Suzuki Jimny XC Auto 4x4,"$31,400",31400,472km,472,https://www.carsales.com.au/cars/details/2024-suzuki-jimny-xc-auto-4x4/OAG-AD-25744493/,OAG-AD-25744493,OAG-AD-25744493,2024,SUZUKI,JIMNY,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/9oxulqdp4879fvwjsupbypkwx.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Suzuki Jimny XC Auto 4x4,stock_tail4_match:1073,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/9oxulqdp4879fvwjsupbypkwx.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",SUV,1330,20241073,20241073,Petrol,1,stock_tail4_match:1073,100.0,identified,JB64W-327198,1073,0,,,23,Check with seller,Automatic,6ZZR00JB64W327198
2024 Toyota Prius Z Auto 4WD,"$43,900",43900,"6,000km",6000,https://www.carsales.com.au/cars/details/2024-toyota-prius-z-auto-4wd/OAG-AD-25649699/,OAG-AD-25649699,OAG-AD-25649699,2024,TOYOTA,Prius,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/cezvxudmd1phmocokpdgcf22l.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Prius Z Auto 4WD,stock_tail4_match:1029,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/cezvxudmd1phmocokpdgcf22l.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1307,20241029,20241029,Hybrid,1,stock_tail4_match:1029,100.0,identified,MXWH65-4019630,1029,1,odometer,"Odometer mismatch: Carsales 6,000km vs Carbarn 5,881km",25,Check with seller,Automatic,6ZZRMXWH654019630
2009 Toyota Hiace DX LWB Auto 4WD,"$26,900",26900,"173,000km",173000,https://www.carsales.com.au/cars/details/2009-toyota-hiace-dx-lwb-auto-4wd/OAG-AD-25744492/,OAG-AD-25744492,OAG-AD-25744492,2009,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/12vbcb4tmxfun5dn6it0xfdpa.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Toyota Hiace DX LWB Auto 4WD,stock_tail4_match:1009,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/12vbcb4tmxfun5dn6it0xfdpa.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1253,20091009,20091009,Diesel,1,stock_tail4_match:1009,100.0,identified,KDH206-8020379,1009,0,,,6,Check with seller,Automatic,6ZZ9KDH2068020379
2022 Toyota Yaris X Hybrid Auto eFour,"$24,900",24900,"61,270km",61270,https://www.carsales.com.au/cars/details/2022-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25649683/,OAG-AD-25649683,OAG-AD-25649683,2022,TOYOTA,YARIS,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/7rprz3h8qs3ebfe0d66vapww2.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1042,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/7rprz3h8qs3ebfe0d66vapww2.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1311,20221042,20221042,Hybrid,1,stock_tail4_match:1042,100.0,identified,MXPH15-0018516,1042,0,,,27,Check with seller,Automatic,6ZZNMXPH150018516
2014 Toyota Alphard 240S Type Gold II Auto,"$22,900",22900,"80,000km",80000,https://www.carsales.com.au/cars/details/2014-toyota-alphard-240s-type-gold-ii-auto/OAG-AD-25709367/,OAG-AD-25709367,OAG-AD-25709367,2014,TOYOTA,Alphard,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/7zg99zhz31mus6o1n8tnec5ob.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2014 Toyota Alphard 240S Type Gold II Auto,stock_tail4_match:1046,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/7zg99zhz31mus6o1n8tnec5ob.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1321,20141046,20141046,Petrol,1,stock_tail4_match:1046,100.0,identified,ANH20-8355680,1046,0,,,26,Check with seller,Automatic,6ZZE0ANH208355680
2014 Toyota Alphard Auto,"$21,900",21900,"69,000km",69000,https://www.carsales.com.au/cars/details/2014-toyota-alphard-auto/OAG-AD-25780101/,OAG-AD-25780101,OAG-AD-25780101,2014,TOYOTA,Vellfire,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/70eqqpd1cllf5djupw2963ude.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2014 Toyota Alphard Auto,stock_tail4_match:1040,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/70eqqpd1cllf5djupw2963ude.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1291,20141040,20141040,Petrol,1,stock_tail4_match:1040,100.0,identified,ANH20-8323267,1040,0,,,5,Check with seller,Automatic,6ZZE0ANH208323267
2013 Toyota Alphard 240S Type Gold Auto,"$22,900",22900,"67,593km",67593,https://www.carsales.com.au/cars/details/2013-toyota-alphard-240s-type-gold-auto/OAG-AD-25709368/,OAG-AD-25709368,OAG-AD-25709368,2013,TOYOTA,Alphard,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/awdxan0nba2l7q4h7wun7myja.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Alphard 240S Type Gold Auto,stock_tail4_match:1045,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/awdxan0nba2l7q4h7wun7myja.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1322,20131045,20131045,Petrol,1,stock_tail4_match:1045,100.0,identified,ANH20-8265684,1045,0,,,22,Check with seller,Automatic,6ZZD0ANH208265684
2020 Toyota Noah Hybrid SI Auto,"$38,400",38400,"28,000km",28000,https://www.carsales.com.au/cars/details/2020-toyota-noah-hybrid-si-auto/OAG-AD-25709542/,OAG-AD-25709542,OAG-AD-25709542,2020,TOYOTA,Noah,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/304dx575ndwp7zh4ph1r97s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Noah Hybrid SI Auto,stock_tail4_match:1064,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/304dx575ndwp7zh4ph1r97s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1326,20201064,20201064,Hybrid,1,stock_tail4_match:1064,100.0,identified,ZWR80-0474507,1064,1,odometer,"Odometer mismatch: Carsales 28,000km vs Carbarn 27,955km",23,Check with seller,Automatic,6ZZL0ZWR800474507
2020 Toyota Noah Hybrid SI Auto,"$29,900",29900,"79,910km",79910,https://www.carsales.com.au/cars/details/2020-toyota-noah-hybrid-si-auto/OAG-AD-25705795/,OAG-AD-25705795,OAG-AD-25705795,2020,TOYOTA,Noah,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/9yh53cwf7i1tfzwyr9e1rxwko.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Noah Hybrid SI Auto,stock_tail4_match:1063,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/9yh53cwf7i1tfzwyr9e1rxwko.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1331,20201063,20201063,Hybrid,1,stock_tail4_match:1063,100.0,identified,ZWR80-0475693,1063,0,,,27,Check with seller,Automatic,6ZZL0ZWR800475693
2024 Toyota Yaris X Hybrid Auto eFour,"$25,900",25900,"38,000km",38000,https://www.carsales.com.au/cars/details/2024-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780106/,OAG-AD-25780106,OAG-AD-25780106,2024,TOYOTA,YARIS,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/2lsim34ub2jlbqnml961i524n.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1098,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/2lsim34ub2jlbqnml961i524n.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1133,20241098,20241098,Hybrid,1,stock_tail4_match:1098,100.0,identified,MXPH17-0003909,1098,0,,,6,Check with seller,Automatic,6ZZRMXPH170003909
2023 Toyota Yaris X Hybrid Auto eFour,"$24,900",24900,"62,000km",62000,https://www.carsales.com.au/cars/details/2023-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780109/,OAG-AD-25780109,OAG-AD-25780109,2023,TOYOTA,YARIS,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/8cjvhq6sd9cxaakuz3cgd5oax.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1091,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/8cjvhq6sd9cxaakuz3cgd5oax.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1346,20231091,20231091,Hybrid,1,stock_tail4_match:1091,100.0,identified,MXPH15-0025176,1091,0,,,5,Check with seller,Automatic,6ZZPMXPH150025176
2022 Toyota Raize Auto,"$27,900",27900,"48,000km",48000,https://www.carsales.com.au/cars/details/2022-toyota-raize-auto/OAG-AD-25709540/,OAG-AD-25709540,OAG-AD-25709540,2022,TOYOTA,Raize,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/9qy2uxpks0lssni5kkwlegz8o.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Raize Auto,stock_tail4_match:1069,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/9qy2uxpks0lssni5kkwlegz8o.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1328,20221069,20221069,Hybrid,1,stock_tail4_match:1069,100.0,identified,A202A-0044734,1069,1,odometer,"Odometer mismatch: Carsales 48,000km vs Carbarn 48,749km",24,Check with seller,Automatic,6ZZN0A202A0044734
2022 Toyota Raize Auto,"$29,400",29400,"27,782km",27782,https://www.carsales.com.au/cars/details/2022-toyota-raize-auto/OAG-AD-25754029/,OAG-AD-25754029,OAG-AD-25754029,2022,TOYOTA,Raize,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/910l8w5z13zmtubvtemdg3kqm.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Toyota Raize Auto,stock_tail4_match:1068,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/910l8w5z13zmtubvtemdg3kqm.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1268,20221068,20221068,Hybrid,1,stock_tail4_match:1068,100.0,identified,A202A-0047296,1068,0,,,30,Check with seller,Automatic,6ZZN0A202A0047296
2024 Toyota Corolla Hybrid G Auto AWD,"$31,900",31900,"14,000km",14000,https://www.carsales.com.au/cars/details/2024-toyota-corolla-hybrid-g-auto-awd/OAG-AD-25780108/,OAG-AD-25780108,OAG-AD-25780108,2024,TOYOTA,Corolla,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/b82hz7u2g4hs02rva9pwfexu5.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Corolla Hybrid G Auto AWD,stock_tail4_match:1075,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/b82hz7u2g4hs02rva9pwfexu5.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Sedan,1347,20241075,20241075,Hybrid,1,stock_tail4_match:1075,100.0,identified,ZWE215-0024058,1075,0,,,4,Check with seller,Automatic,6ZZRZWE2150024058
2013 Toyota Estima Aeras Hybrid Auto 4WD,"$26,900",26900,"68,218km",68218,https://www.carsales.com.au/cars/details/2013-toyota-estima-aeras-hybrid-auto-4wd/OAG-AD-25780116/,OAG-AD-25780116,OAG-AD-25780116,2013,TOYOTA,Estima,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/9lg3anmlyrto3rze99lhd2pme.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Estima Aeras Hybrid Auto 4WD,stock_tail4_match:1088,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/9lg3anmlyrto3rze99lhd2pme.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",People Mover,1345,20131088,20131088,Hybrid,1,stock_tail4_match:1088,100.0,identified,AHR20-7072387,1088,0,,,9,Check with seller,Automatic,6ZZD0AHR207072387
