title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,updated_at,_row_key
2024 Toyota Hiace,"$60,990",60990,"35,244 km",35244,https://www.carsales.com.au/cars/details/2024-toyota-hiace-super-lwb-auto/OAG-AD-25669113/,OAG-AD-25669113,OAG-AD-25669113,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2024-toyota-hiace-super-lwb-auto/oag-ad-25669113/
2021 Toyota Hiace,"$63,980",63980,"65,019 km",65019,https://www.carsales.com.au/cars/details/2021-toyota-hiace-commuter-super-lwb-auto/OAG-AD-25262607/,OAG-AD-25262607,OAG-AD-25262607,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2021-toyota-hiace-commuter-super-lwb-auto/oag-ad-25262607/
2021 Toyota Hiace,"$45,990",45990,"88,010 km",88010,https://www.carsales.com.au/cars/details/2021-toyota-hiace-lwb-auto/OAG-AD-25613670/,OAG-AD-25613670,OAG-AD-25613670,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2021-toyota-hiace-lwb-auto/oag-ad-25613670/
2023 Toyota Hiace,"$38,990",38990,"58,178 km",58178,https://www.carsales.com.au/cars/details/2023-toyota-hiace-dx-lwb-auto/OAG-AD-25685154/,OAG-AD-25685154,OAG-AD-25685154,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2023-toyota-hiace-dx-lwb-auto/oag-ad-25685154/
2018 Toyota Hiace,"$30,000",30000,"113,734 km",113734,https://www.carsales.com.au/cars/details/2018-toyota-hiace-super-gl-auto/OAG-AD-25813069/,OAG-AD-25813069,OAG-AD-25813069,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2018-toyota-hiace-super-gl-auto/oag-ad-25813069/
2025 Toyota Hiace,"$65,755",65755,224 km,224,https://www.carsales.com.au/cars/details/2025-toyota-hiace-super-lwb-auto/OAG-AD-25444348/,OAG-AD-25444348,OAG-AD-25444348,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2025-toyota-hiace-super-lwb-auto/oag-ad-25444348/
2016 Toyota Hiace,"$26,990",26990,"124,390 km",124390,https://www.carsales.com.au/cars/details/2016-toyota-hiace-dx-lwb-auto/OAG-AD-25759785/,OAG-AD-25759785,OAG-AD-25759785,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2016-toyota-hiace-dx-lwb-auto/oag-ad-25759785/
2020 Toyota Hiace,"$36,990",36990,"123,527 km",123527,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/OAG-AD-25652403/,OAG-AD-25652403,OAG-AD-25652403,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/oag-ad-25652403/
2020 Toyota Hiace,"$36,990",36990,"126,763 km",126763,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/OAG-AD-25541676/,OAG-AD-25541676,OAG-AD-25541676,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/oag-ad-25541676/
2021 Toyota Hiace,"$35,000",35000,"59,248 km",59248,https://www.carsales.com.au/cars/details/2021-toyota-hiace-dx-auto/OAG-AD-25784251/,OAG-AD-25784251,OAG-AD-25784251,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2021-toyota-hiace-dx-auto/oag-ad-25784251/
2020 Toyota Hiace,"$42,000",42000,"142,830 km",142830,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto-4wd/OAG-AD-25457178/,OAG-AD-25457178,OAG-AD-25457178,1991,TOYOTA,Hiace,https://www.carsales.com.au/cars/dealer/toyota/hiace/new-south-wales-state/,2026-04-30T09:19:59,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto-4wd/oag-ad-25457178/
