title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,dealer_stock_id,dealer_stock_ids,car_code,photo_count,all_image_urls,image_count,vin,registration_plate,body_type,fuel,transmission,matched_stock_no,matched_chassis,match_score,match_reason,match_status,mismatch_count,mismatch_fields,mismatch_messages
1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,"$34,900",34900,"134,795km",134795,https://www.carsales.com.au/cars/details/1999-mitsubishi-strada-k74t-auto-4x4-dual-cab/OAG-AD-24984736/,OAG-AD-24984736,OAG-AD-24984736,1999,MITSUBISHI,Strada,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,stock_tail3_match:824,,2026-05-01T10:38:40,1999824,1999824,1248,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZX000K741100900,Check with seller,Ute,Diesel,Automatic,824,K741100900,95.0,stock_tail3_match:824,identified,0,,
2021 Nissan Note e-POWER X E13 Auto,"$21,900",21900,"51,489km",51489,https://www.carsales.com.au/cars/details/2021-nissan-note-e-power-x-e13-auto/OAG-AD-25056824/,OAG-AD-25056824,OAG-AD-25056824,2021,NISSAN,Note,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Note e-POWER X E13 Auto,stock_tail3_match:945,,2026-05-01T10:38:40,2021945,2021945,1327,29,"[""https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM0000E13057943,Check with seller,Hatch,Hybrid,Automatic,945,E13-057943,95.0,stock_tail3_match:945,identified,0,,
1994 Mitsubishi Pajero Exceed NJ Auto 4WD,"$19,900",19900,"86,382km",86382,https://www.carsales.com.au/cars/details/1994-mitsubishi-pajero-exceed-nj-auto-4wd/OAG-AD-25415448/,OAG-AD-25415448,OAG-AD-25415448,1994,MITSUBISHI,Pajero,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1994 Mitsubishi Pajero Exceed NJ Auto 4WD,stock_tail3_match:976,,2026-05-01T10:38:40,1994976,1994976,1214,28,"[""https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZR000V464028233,Check with seller,SUV,Diesel,Automatic,976,V46-4028233,95.0,stock_tail3_match:976,identified,0,,
1996 Toyota Hiace Super Custom Auto,"$46,900",46900,"37,073km",37073,https://www.carsales.com.au/cars/details/1996-toyota-hiace-super-custom-auto/OAG-AD-25751349/,OAG-AD-25751349,OAG-AD-25751349,1996,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1996 Toyota Hiace Super Custom Auto,stock_tail3_match:987,,2026-05-01T10:38:40,1996987,1996987,1323,25,"[""https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZX0LY1110006633,Check with seller,People Mover,Diesel,Automatic,987,LY1110003463,95.0,stock_tail3_match:987,identified,0,,
2000 Toyota MR2 Spyder Manual,"$20,900",20900,"91,323km",91323,https://www.carsales.com.au/cars/details/2000-toyota-mr2-spyder-manual/OAG-AD-25461738/,OAG-AD-25461738,OAG-AD-25461738,2000,TOYOTA,MR-S,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota MR2 Spyder Manual,stock_tail3_match:994,,2026-05-01T10:38:40,2000994,2000994,1313,24,"[""https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZY0ZZW300011412,Check with seller,Convertible,Petrol,Manual,994,ZZW30-0011412,95.0,stock_tail3_match:994,identified,1,price,"Price mismatch: Carsales $20,900 vs Carbarn $19,900"
2019 Toyota Hiace DX LWB Auto,"$36,900",36900,"13,000km",13000,https://www.carsales.com.au/cars/details/2019-toyota-hiace-dx-lwb-auto/OAG-AD-25628782/,OAG-AD-25628782,OAG-AD-25628782,2019,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/48h2q4y2t5m09pzhk8vygb5sd.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2019 Toyota Hiace DX LWB Auto,stock_tail4_match:1007,,2026-05-01T10:38:40,20191007,20191007,1254,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/48h2q4y2t5m09pzhk8vygb5sd.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZKTRH2000310024,Check with seller,Van,Petrol,Automatic,1007,TRH200-0310024,100.0,stock_tail4_match:1007,identified,0,,
2020 Honda Vezel Hybrid Z Honda Sensing Auto,"$27,900",27900,"51,676km",51676,https://www.carsales.com.au/cars/details/2020-honda-vezel-hybrid-z-honda-sensing-auto/OAG-AD-25730316/,OAG-AD-25730316,OAG-AD-25730316,2020,HONDA,Vezel,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/cte9bg4kzzhb4200hpfao3l5q.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Honda Vezel Hybrid Z Honda Sensing Auto,stock_tail4_match:1021,,2026-05-01T10:38:40,20201021,20201021,1153,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/cte9bg4kzzhb4200hpfao3l5q.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZL000RU31405237,Check with seller,Hatch,Hybrid,Automatic,1021,RU3-1405237,100.0,stock_tail4_match:1021,identified,0,,
2017 Honda Odyssey Hybrid Absolute Auto,"$28,900",28900,"77,158km",77158,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25705793/,OAG-AD-25705793,OAG-AD-25705793,2017,HONDA,Odyssey,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/4qp16hppiirmbh8lsqo5527vl.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1054,,2026-05-01T10:38:40,20171054,20171054,1279,22,"[""https://carsales.pxcrush.net/carsales/cars/dealer/4qp16hppiirmbh8lsqo5527vl.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZH000RC41027907,Check with seller,People Mover,Hybrid,Automatic,1054,RC4-1027907,100.0,stock_tail4_match:1054,identified,0,,
2019 Honda Vezel Hybrid Z Honda Sensing Auto 4WD,"$28,900",28900,"16,396km",16396,https://www.carsales.com.au/cars/details/2019-honda-vezel-hybrid-z-honda-sensing-auto-4wd/OAG-AD-25754119/,OAG-AD-25754119,OAG-AD-25754119,2019,HONDA,Vezel,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/5c01a5a428919ec2da7f8a2374a1232f.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2019 Honda Vezel Hybrid Z Honda Sensing Auto 4WD,stock_tail4_match:1057,,2026-05-01T10:38:40,20191057,20191057,1304,22,"[""https://carsales.pxcrush.net/carsales/car/dealer/5c01a5a428919ec2da7f8a2374a1232f.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZK000RU31360659,Check with seller,SUV,Hybrid,Automatic,1057,RU3-1360659,100.0,stock_tail4_match:1057,identified,0,,
2017 Honda Odyssey Hybrid Absolute Auto,"$24,900",24900,"112,678km",112678,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25744494/,OAG-AD-25744494,OAG-AD-25744494,2017,HONDA,Odyssey,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/2n9p4qerq0wdbz4jemlroudun.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1056,,2026-05-01T10:38:40,20171056,20171056,1287,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/2n9p4qerq0wdbz4jemlroudun.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZH000RC41023465,Check with seller,People Mover,Hybrid,Automatic,1056,RC4-1023465,100.0,stock_tail4_match:1056,identified,0,,
2017 Honda Odyssey Hybrid Absolute Auto,"$28,900",28900,"69,040km",69040,https://www.carsales.com.au/cars/details/2017-honda-odyssey-hybrid-absolute-auto/OAG-AD-25744498/,OAG-AD-25744498,OAG-AD-25744498,2017,HONDA,Odyssey,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/btil99wxs3u6bcfm2wtafa2tq.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Honda Odyssey Hybrid Absolute Auto,stock_tail4_match:1043,,2026-05-01T10:38:40,20171043,20171043,1219,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/btil99wxs3u6bcfm2wtafa2tq.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZH000RC41029909,Check with seller,People Mover,Hybrid,Automatic,1043,RC4-1029909,100.0,stock_tail4_match:1043,identified,0,,
2017 Mercedes-Benz E-Class E43 AMG Auto 4MATIC,"$52,900",52900,"59,222km",59222,https://www.carsales.com.au/cars/details/2017-mercedes-benz-e-class-e43-amg-auto-4matic/OAG-AD-25653306/,OAG-AD-25653306,OAG-AD-25653306,2017,MERCEDES-BENZ,E-Class,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/3blqygm1ex38rjidjzuo0bz2g.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2017 Mercedes-Benz E-Class E43 AMG Auto 4MATIC,stock_tail4_match:1039,,2026-05-01T10:38:40,20171039,20171039,1202,33,"[""https://carsales.pxcrush.net/carsales/cars/dealer/3blqygm1ex38rjidjzuo0bz2g.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,WDD2132642A333293,Check with seller,Wagon,Petrol,Automatic,1039,WDD2132642A333293,100.0,stock_tail4_match:1039,identified,1,odometer,"Odometer mismatch: Carsales 59,222km vs Carbarn 59,230km"
2016 Mercedes-Benz E-Class E400 Auto 4MATIC,"$34,900",34900,"60,000km",60000,https://www.carsales.com.au/cars/details/2016-mercedes-benz-e-class-e400-auto-4matic/OAG-AD-25780115/,OAG-AD-25780115,OAG-AD-25780115,2016,MERCEDES-BENZ,E-Class,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/1ici3de71znpxasvjuqec71vp.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2016 Mercedes-Benz E-Class E400 Auto 4MATIC,stock_tail4_match:1076,,2026-05-01T10:38:40,20161076,20161076,1336,6,"[""https://carsales.pxcrush.net/carsales/car/dealer/1ici3de71znpxasvjuqec71vp.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,WDD2132712A176208,Check with seller,Wagon,Petrol,Automatic,1076,WDD2132712A176208,100.0,stock_tail4_match:1076,identified,0,,
1995 Mitsubishi GTO Auto 4WD,"$33,900",33900,"18,052km",18052,https://www.carsales.com.au/cars/details/1995-mitsubishi-gto-auto-4wd/OAG-AD-25521014/,OAG-AD-25521014,OAG-AD-25521014,1995,MITSUBISHI,GTO,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/c2ai4nksf5y7w8dcs7ogw324b.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1995 Mitsubishi GTO Auto 4WD,stock_tail4_match:1018,,2026-05-01T10:38:40,19951018,19951018,1190,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/c2ai4nksf5y7w8dcs7ogw324b.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZS00Z16A0100673,Check with seller,Coupe,Petrol,Automatic,1018,Z16A-0100673,100.0,stock_tail4_match:1018,identified,0,,
1997 Mitsubishi Delica Spacegear Exceed PE8W Auto 4x4,"$17,400",17400,"171,718km",171718,https://www.carsales.com.au/cars/details/1997-mitsubishi-delica-spacegear-exceed-pe8w-auto-4x4/OAG-AD-25649682/,OAG-AD-25649682,OAG-AD-25649682,1997,MITSUBISHI,Delica,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/5l8cb5ujue1ridzf20euamfqn.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1997 Mitsubishi Delica Spacegear Exceed PE8W Auto 4x4,stock_tail4_match:1032,,2026-05-01T10:38:40,19971032,19971032,1332,20,"[""https://carsales.pxcrush.net/carsales/car/dealer/5l8cb5ujue1ridzf20euamfqn.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZV00PE8W0213867,Check with seller,People Mover,Diesel,Automatic,1032,PE8W-0213867,100.0,stock_tail4_match:1032,identified,0,,
2023 Nissan Aura G FE13 Auto,"$31,900",31900,"24,830km",24830,https://www.carsales.com.au/cars/details/2023-nissan-aura-g-fe13-auto/OAG-AD-25705491/,OAG-AD-25705491,OAG-AD-25705491,2023,NISSAN,AURA,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/jacc50w49yedvwcl446o18y3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Nissan Aura G FE13 Auto,stock_tail4_match:1028,,2026-05-01T10:38:40,20231028,20231028,1229,25,"[""https://carsales.pxcrush.net/carsales/car/dealer/jacc50w49yedvwcl446o18y3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZP000FE13370242,Check with seller,Hatch,Hybrid,Automatic,1028,FE13-370242,100.0,stock_tail4_match:1028,identified,0,,
2023 Nissan Aura G FE13 Auto,"$31,400",31400,"6,241km",6241,https://www.carsales.com.au/cars/details/2023-nissan-aura-g-fe13-auto/OAG-AD-25649687/,OAG-AD-25649687,OAG-AD-25649687,2023,NISSAN,AURA,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/60140c49vxqz9bni7iyx9u4tx.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2023 Nissan Aura G FE13 Auto,stock_tail4_match:1027,,2026-05-01T10:38:40,20231027,20231027,1267,23,"[""https://carsales.pxcrush.net/carsales/cars/dealer/60140c49vxqz9bni7iyx9u4tx.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZP000FE13303732,Check with seller,Hatch,Hybrid,Automatic,1027,FE13-303732,100.0,stock_tail4_match:1027,identified,1,odometer,"Odometer mismatch: Carsales 6,241km vs Carbarn 6,268km"
2022 Nissan Serena X C27 Auto,"$27,900",27900,"51,829km",51829,https://www.carsales.com.au/cars/details/2022-nissan-serena-x-c27-auto/OAG-AD-25705790/,OAG-AD-25705790,OAG-AD-25705790,2022,NISSAN,Serena,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/dzgpopgq7dtoyunalx8x5ggbn.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Nissan Serena X C27 Auto,stock_tail4_match:1059,,2026-05-01T10:38:40,20221059,20221059,1284,23,"[""https://carsales.pxcrush.net/carsales/cars/dealer/dzgpopgq7dtoyunalx8x5ggbn.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZN000GC27073541,Check with seller,Wagon,Petrol,Automatic,1059,GC27-073541,100.0,stock_tail4_match:1059,identified,0,,
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$31,900",31900,"26,000km",26000,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780113/,OAG-AD-25780113,OAG-AD-25780113,2021,NISSAN,Serena,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/6fmivi8khwwbnsx6hfbwqmn9g.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1072,,2026-05-01T10:38:40,20211072,20211072,1335,6,"[""https://carsales.pxcrush.net/carsales/car/dealer/6fmivi8khwwbnsx6hfbwqmn9g.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM00GFC27224929,Check with seller,Wagon,Petrol,Automatic,1072,GFC27-224929,100.0,stock_tail4_match:1072,identified,0,,
2009 Subaru Impreza WRX STI A Line GRF Auto AWD,"$22,400",22400,"83,499km",83499,https://www.carsales.com.au/cars/details/2009-subaru-impreza-wrx-sti-a-line-grf-auto-awd/OAG-AD-25705794/,OAG-AD-25705794,OAG-AD-25705794,2009,SUBARU,Impreza,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/ffceecdb8c0742e192ce7bfd244383a3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Subaru Impreza WRX STI A Line GRF Auto AWD,stock_tail4_match:1065,,2026-05-01T10:38:40,20091065,20091065,1230,27,"[""https://carsales.pxcrush.net/carsales/car/dealer/ffceecdb8c0742e192ce7bfd244383a3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZ90000GRF003705,Check with seller,Hatch,Petrol,Automatic,1065,GRF-003705,100.0,stock_tail4_match:1065,identified,0,,
2009 Subaru Impreza WRX STI A Line GRF Auto AWD,"$21,400",21400,"97,848km",97848,https://www.carsales.com.au/cars/details/2009-subaru-impreza-wrx-sti-a-line-grf-auto-awd/OAG-AD-25744499/,OAG-AD-25744499,OAG-AD-25744499,2009,SUBARU,Impreza,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/9dtcwew47affeykmbwrtm5yan.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2009 Subaru Impreza WRX STI A Line GRF Auto AWD,stock_tail4_match:1070,,2026-05-01T10:38:40,20091070,20091070,1293,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/9dtcwew47affeykmbwrtm5yan.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZ90000GRF004024,Check with seller,Hatch,Petrol,Automatic,1070,GRF-004024,100.0,stock_tail4_match:1070,identified,0,,
